"fixture_id","h2h_last","h2h_matches","h2h_home_wins","h2h_draws","h2h_away_wins","h2h_home_goals_for","h2h_home_goals_against","h2h_home_goal_diff","updated_at"
"1378035",10,10,0,3,7,"0.8","2.6","-1.8","2025-12-14 17:15:36.596088-08"
"1378036",10,2,1,0,1,"2","1","1","2025-12-14 17:15:37.642772-08"
"1378037",10,4,3,1,0,"1.75","0.5","1.25","2025-12-14 17:15:46.919095-08"
"1378038",10,2,1,1,0,"0.5","0","0.5","2025-12-14 17:15:39.08044-08"
"1378039",10,10,4,2,4,"2","1.2","0.8","2025-12-14 17:15:54.001678-08"
"1378040",10,10,7,3,0,"1.7","0.5","1.2","2025-12-14 17:15:42.024765-08"
"1378041",10,10,4,2,4,"1.3","1.7","-0.4","2025-12-14 17:15:45.488149-08"
"1378042",10,10,4,2,4,"1.5","0.9","0.6","2025-12-14 17:15:39.530957-08"
"1378043",10,10,0,5,5,"0.7","1.2","-0.5","2025-12-14 17:15:51.994717-08"
"1378044",10,10,4,2,4,"0.8","1.2","-0.4","2025-12-14 17:15:57.393417-08"
"1378045",10,2,0,0,2,"0","1","-1","2025-12-14 17:16:04.149838-08"
"1378046",10,10,5,1,4,"1.5","1","0.5","2025-12-14 17:16:01.440656-08"
"1378047",10,10,1,2,7,"0.9","2","-1.1","2025-12-14 17:15:55.906186-08"
"1378048",10,10,6,3,1,"1.9","1","0.9","2025-12-14 17:16:04.628894-08"
"1378049",10,10,5,3,2,"1.7","1.3","0.4","2025-12-14 17:15:57.865915-08"
"1378050",10,10,1,3,6,"1.1","1.8","-0.7","2025-12-14 17:16:02.403084-08"
"1378051",10,7,2,4,1,"1.5714285","1.4285715","0.14285715","2025-12-14 17:15:55.429833-08"
"1378052",10,10,3,1,6,"1.4","2.2","-0.8","2025-12-14 17:15:56.399671-08"
"1378053",10,10,6,2,2,"1.5","1","0.5","2025-12-14 17:16:01.92694-08"
"1378054",10,10,5,3,2,"2.2","1.6","0.6","2025-12-14 17:16:10.58989-08"
"1378055",10,3,0,1,2,"0.6666667","1.6666666","-1","2025-12-14 17:16:06.626812-08"
"1378056",10,10,3,1,6,"1.5","1.8","-0.3","2025-12-14 17:16:11.559778-08"
"1378057",10,10,4,5,1,"1.5","1","0.5","2025-12-14 17:16:18.126245-08"
"1378058",10,10,4,4,2,"1.4","1.2","0.2","2025-12-14 17:16:17.601346-08"
"1378059",10,3,3,0,0,"1.6666666","0.33333334","1.3333334","2025-12-14 17:16:18.60376-08"
"1378060",10,10,4,2,4,"1.8","1.5","0.3","2025-12-14 17:16:11.077312-08"
"1378061",10,10,4,4,2,"1.6","1.5","0.1","2025-12-14 17:16:09.622397-08"
"1378062",10,1,1,0,0,"1","0","1","2025-12-14 17:16:06.115044-08"
"1378063",10,10,1,3,6,"1","1.9","-0.9","2025-12-14 17:16:15.201414-08"
"1378064",10,10,4,2,4,"1.4","1.3","0.1","2025-12-14 17:16:37.761552-08"
"1378065",10,10,0,2,8,"0.7","2.1","-1.4","2025-12-14 17:16:36.231995-08"
"1378066",10,7,1,4,2,"1.1428572","1.4285715","-0.2857143","2025-12-14 17:16:48.183196-08"
"1378067",10,3,1,1,1,"2","1.3333334","0.6666667","2025-12-14 17:16:48.638785-08"
"1378068",10,10,7,3,0,"2.6","0.9","1.7","2025-12-14 17:16:47.138319-08"
"1378069",10,10,7,2,1,"2.9","0.9","2","2025-12-14 17:16:34.189291-08"
"1378070",10,10,5,2,3,"1.8","1","0.8","2025-12-14 17:16:37.178725-08"
"1378071",10,1,0,1,0,"1","1","0","2025-12-14 17:16:26.96932-08"
"1378072",10,10,2,2,6,"0.8","1.4","-0.6","2025-12-14 17:16:45.184615-08"
"1378073",10,10,2,0,8,"1.1","2.2","-1.1","2025-12-14 17:16:28.423474-08"
"1378074",10,10,7,1,2,"2.8","1.3","1.5","2025-12-14 17:16:59.818672-08"
"1378075",10,3,2,0,1,"2","0.6666667","1.3333334","2025-12-14 17:16:51.674545-08"
"1378076",10,10,6,4,0,"1.5","0.5","1","2025-12-14 17:16:56.489442-08"
"1378077",10,10,5,3,2,"1.8","0.9","0.9","2025-12-14 17:17:02.290473-08"
"1378078",10,2,1,1,0,"1.5","0.5","1","2025-12-14 17:16:50.635645-08"
"1378079",10,10,2,2,6,"0.9","1.6","-0.7","2025-12-14 17:17:07.876952-08"
"1378080",10,10,4,2,4,"1.3","1.5","-0.2","2025-12-14 17:16:58.413541-08"
"1378081",10,9,4,1,4,"1.6666666","1.5555556","0.11111111","2025-12-14 17:17:11.271565-08"
"1378082",10,6,1,2,3,"1.1666666","2","-0.8333333","2025-12-14 17:16:59.35068-08"
"1378083",10,10,3,5,2,"1.3","1","0.3","2025-12-14 17:17:12.227949-08"
"1378084",10,10,2,3,5,"0.9","1.6","-0.7","2025-12-14 17:17:24.507845-08"
"1378085",10,10,3,4,3,"1","1.1","-0.1","2025-12-14 17:17:24.023736-08"
"1378086",10,4,1,1,2,"1.25","2.25","-1","2025-12-14 17:17:23.558804-08"
"1378087",10,3,0,0,3,"1","3","-2","2025-12-14 17:17:27.803604-08"
"1378088",10,10,8,0,2,"2.2","1","1.2","2025-12-14 17:17:27.344873-08"
"1378089",10,10,5,2,3,"1.9","1.5","0.4","2025-12-14 17:17:25.952676-08"
"1378090",10,10,2,2,6,"1","1.9","-0.9","2025-12-14 17:17:24.986768-08"
"1378091",10,3,1,1,1,"1.6666666","1.3333334","0.33333334","2025-12-14 17:17:22.539606-08"
"1378092",10,10,5,1,4,"1.1","1","0.1","2025-12-14 17:17:26.419402-08"
"1378093",10,10,1,1,8,"0.8","2","-1.2","2025-12-14 17:17:22.05622-08"
